dataset,sequence_length,metric,pets_mean,diffts_mean,absolute_delta_ts_minus_pets,relative_gain_percent,pets_improving_seed_count,pets_improving_draw_count
AirQuality,64,context_fid,0.5609791223007565,0.47721756229043244,-0.08376156001032409,-17.552069879470864,1,3
AirQuality,64,correlation_score,0.11134465833504995,0.1375730499625206,0.02622839162747065,19.06506516691759,3,15
AirQuality,64,discriminative_score,0.18288617886178862,0.16355013550135503,-0.019336043360433597,-11.82270091135045,1,2
AirQuality,64,predictive_score,0.0222701954782508,0.021643494898132252,-0.0006267005801185478,-2.8955609205823296,1,3
AirQuality,128,context_fid,0.5665528089722321,0.6401471850082252,0.07359437603599306,11.496477335137769,2,10
AirQuality,128,correlation_score,0.11037159562110901,0.13125895212093988,0.020887356499830867,15.913091002422139,2,11
AirQuality,128,discriminative_score,0.19234417344173443,0.19539295392953931,0.0030487804878048808,1.560332871012484,1,5
AirQuality,128,predictive_score,0.020477400848320334,0.020825771715676133,0.0003483708673557989,1.6727873142562615,3,11
AirQuality,256,context_fid,1.7158271844587454,1.0469386286032585,-0.6688885558554869,-63.88994899804819,2,10
AirQuality,256,correlation_score,0.14236566772063572,0.13044732958078384,-0.01191833813985188,-9.136513701088111,1,5
AirQuality,256,discriminative_score,0.276260162601626,0.24592140921409214,-0.030338753387533862,-12.336767865998121,2,10
AirQuality,256,predictive_score,0.02140018763132048,0.020219707205248797,-0.0011804804260716825,-5.838266667705474,0,1
ETTh,64,context_fid,0.7315192009040001,0.3091310925734331,-0.42238810833056706,-136.63721265120884,0,0
ETTh,64,correlation_score,0.09464850425720214,0.07476424276828766,-0.01988426148891448,-26.59595115614369,0,0
ETTh,64,discriminative_score,0.13392953929539295,0.0973712737127371,-0.03655826558265585,-37.545226829947154,0,0
ETTh,64,predictive_score,0.12234066413497607,0.1190227787974739,-0.0033178853375021716,-2.7876053399390046,0,0
ETTh,128,context_fid,0.9290951217203489,0.9974616993138012,0.06836657759345233,6.854055412903048,1,5
ETTh,128,correlation_score,0.07961690028508504,0.09425626496473948,0.014639364679654432,15.53145001568957,3,15
ETTh,128,discriminative_score,0.1543631436314363,0.14918699186991866,-0.0051761517615176444,-3.4695731153497027,1,5
ETTh,128,predictive_score,0.11572303176986275,0.11785125910633826,0.0021282273364755105,1.8058588025395568,3,10
ETTh,256,context_fid,1.6626054908319536,2.059406957183993,0.3968014663520394,19.267753999171717,2,10
ETTh,256,correlation_score,0.1133732999364535,0.14831082671880721,0.03493752678235372,23.556963139713464,3,15
ETTh,256,discriminative_score,0.20658536585365847,0.20489159891598918,-0.0016937669376692888,-0.8266649031148303,2,10
ETTh,256,predictive_score,0.11569689252987196,0.11784262954097359,0.0021457370111016283,1.8208495681569639,3,14
Energy,64,context_fid,0.9381066234497769,0.740195984713278,-0.19791063873649895,-26.737599611967838,0,0
Energy,64,correlation_score,1.8214955727259319,1.3209001461664835,-0.5005954265594483,-37.89805217391159,0,0
Energy,64,discriminative_score,0.299159891598916,0.3586449864498646,0.059485094850948605,16.586066193138908,2,11
Energy,64,predictive_score,0.2676461779423537,0.26245731015555473,-0.005188867786798945,-1.9770330587186071,1,6
Energy,128,context_fid,1.6293563894093344,0.9386938831765382,-0.6906625062327961,-73.57696887249287,0,0
Energy,128,correlation_score,1.4987374703089396,1.339034620920817,-0.15970284938812251,-11.926715477923887,0,3
Energy,128,discriminative_score,0.42765582655826556,0.4148915989159891,-0.012764227642276471,-3.076521114340781,1,5
Energy,128,predictive_score,0.2979669839111415,0.31206209120064154,0.01409510728950003,4.516763710475018,1,5
Energy,256,context_fid,2.0773605927893133,1.5669435578857622,-0.5104170349035511,-32.57405363038372,0,0
Energy,256,correlation_score,1.7989696979522705,1.2098706881205241,-0.5890990098317463,-48.691072162999774,0,0
Energy,256,discriminative_score,0.47753387533875347,0.45089430894308946,-0.026639566395664005,-5.908162038706585,1,4
Energy,256,predictive_score,0.3627731603212952,0.3862255630896672,0.023452402768372016,6.072203657562469,2,10
